"id"|"Language"|"FrenchText"|"RegionID"|"Department"|"Details"
67|"[none selected]"|"[none selected]"|12||
68|"Manyu Project"||12||
69|"Ouldeme"||12||
70|"Melokwo"||12||
71|"Limbum & Yamba"||12||
72|"Bakaka"||12||
76|"Kwanja"|"sur la langue kwanja"|5|"parleàe dans le Deàpartement du Mayo - Banyo"|
77|"Mambila"|"sur la langue mambila"|5|"parleàe dans le Deàpartement du Mayo - Banyo"|
79|"Meàreà"|"sur la langue  meàreà"|7|"parleàe dans le Deàpartement du Diamareà"|
82|"Ouldeàmeà et Vameà"|"sur les langues Ouldeàmeà et Vameà"|7|"parleàes dans le Deàpartement du Mayo-Sava"|
83|"Tivoid"|"sur la langue tivoid"|9|"parleàe dans le Deàpartement de la Manyu"|
84|"Fulfulde"|"sur la langue fulfulde"|7|"parleàe dans le Deàpartement du Diamare"|
86|"Mpongpong"|"sur la langue mpongpong"|4|"parlée dans le Départment de la Boumba-et-Ngoko"|
87|"Gavar"|"sur la langue gavar"|7|"parlée dans le Département du Mayo-Tsanaga"|
88|"Bangolan"|"sur la langue bangolan"|10|"parlée dans le Département du Ngoketunjia"|
89|||12||
90|"Mbədam"|"sur la langue  mbədam"|7|"parlée dans le Département du Mayo-Tsanaga"|
91|||||
73|"Hdi"|"sur la langue hedi"|7|"parleàe dans le deàpartement du Mayo-Tsanaga"|
93|"Mungong"|"sur la langue mungong"|10|"parlée dans le Département de la Menchum"|
94|"Iyive"|"sur la langue iyive"|9|"parlée dans le Département de la Manyu"|
95|"Sari"|"sur la langue sari"|10|"parlée dans le Département de la Donga-Mantung"|
96|"Guemzek"|"Guemzek"|7|"parlée dans le Département du Mayo-Sava"|
97|"Matal"|"sur la langue matal"|7|"parlée dans le Département du Mayo-Sava"|
98|"Tuki"|"sur la langue tuki"|1|"parlée dans les Départements Mbam et Kim, Mbam et Inoubou, Lékié."|
99|"Mmen"|"sur la langue mmen"|10|"parlée dans le Département de la Menchum"|
100|"Isu"|"sur la langue isu"|10|"parlée dans le Département de la Menchum"|
101|"Iceve-Maci"|"sur la langue Iceve-Maci"|9|"parlée dans le Département de la Manyu"|
103|"Gyele"|"sur la langue gyele"|14|"parlée dans le Dépatrement de l'Océan"|
105|"Dzodinka"|"sur la langue dzodinka"|13|"parlée dans le Département du Donga-Mantung"|
106|"Numala"|"sur la langue numala"|1|"Département du Mbam et Inoubou"|
107|"Mbamoises (A.40-A.60) [511-544]"|"sur les langues mbamoises (A.40-A.60) [511-544]"|1|"parlées dans le Département du Mbam et Inoubou"|
109|"Naami"|"sur la langue naami"|10|"parlée dans le département de la Donga-Mantung"|
110|"Nuasué"|"sur la langue nuasué"|1|"parlée dans le Département du Mbam et Inoubou"|
111|"Ngombalé"|"sur la langue ngombalé"|8|"parlée dans le Département des Bamboutos"|
112|"Batanga, Banɔʼɔ"|"sur les langues batanga, banɔʼɔ"|14|"parlées dans le Département de lʼOcéan"|
1|"Mada"|"sur la langue mada"|7|"parleàe dans le Deàpartement du Mayo-Sava"|
4|"Vameà"|"sur la langue vameà"|7|"parleàe dans le Deàpartement du Mayo-Sava"|
53|"Lagwan"|"sur la langue lagwan"|7|"parleàe dans le deàpartement du Logone-et-Chari"|
15|"Hdeàà"|"sur la langue hdi"|7|"parleàe dans le Deàpartement du Mayo-Tsanaga"|
55|"Kwasio (Ngumba)"|"sur la langue kwasio ( ngumba )"|14|"dans le deààpartement  de l'Oceàan"|
74|"Bamunka"|"sur la langue bamunka"|10|"parleàe dans le Deàpartement du Ngo - Ketunjia"|
58|"Babanki"|"sur la langue babanki"|10|"parleàe dans le Deàpartement de la Mezam"|
43|"Muyang"|"sur la langue muyang"|7|"parleàe dans le Deàpartement du Mayo-Sava"|
2|"Kom"|"sur la langue kom"|10|"parleàe dans le Deàpartement du Boyo"|
80|"Kom et Fe'efe'e"|"sur les langues kom et fe'efe'e"|13|"parleàes dans les Deàpartements de Boyo et du Haut-Nkam"|
59|"Bambalang"|"sur la langue bambalang"|10|"parleàe dans le Deàpartement du Ngo-keàtunjia"|
64|"Foulfouldeà"|"sur la langue  foulfouldeàˆ"|10|"dans toute la région du Nord - Ouest"|
78|"Bamukumbit ( Mangkong )"|"sur la langue bamoukoumbit (Mangkong)"|10|"parleàe dans le Deàpartement du Ngo - Ketunjia"|
63|"Mfumte"|"sur la langue Mfumte"|10|"parleàe dans le Deàpartement de la Donga-Mantum"|
62|"Lefa'"|"sur la langue lefa'"|1|"parlée dans le Département du Mbam et Inoubou"|
85|"Weh"|"sur la langue weh"|10|"parlée dans le Département de la Menchum"|
5|"Baka"|"sur la langue baka"|4|"parleàe dans les Deààpartements du Haut-Nyong et de la Boumba-et-Ngoko"|
61|"Bafanji"|"sur la langue bafanji"|10|"parleàe dans le Deàpartement du Ngo-Ketunjia"|
57|"Nchane"|"sur langue nchane"|10|"parleàe dans le deàpartement de la Donga-Mantung"|
102|"Moghamo"|"sur la langue moghamo"|10|"parlée dans le Département de la Momo"|
108|"Makaa"|"sur la langue makaa"|4|"parlée dans le département du Haut-Nyong"|
52|"Kemedzung"|"sur la langue kemedzung"|10|"parlée dans le département de la Donga-Mantung"|
92|"Yassa ( Iyasa ou yasa )"|"sur la langue yassa ( iyasa ou yasa )"|14|"parlée dans le Département de l' Océan"|
81|"Kenswei Nsei ( Bamessing )"|"sur la langue kenswey nsey ( bamessing )"|13|"parleàe dans le Deàpartememt du Ngo-Kentunjia"|
104|"survey E-N"|"sur les enquêtes socio-culturelles"|7|" dans le Département du Mayo-Sava"|
